"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BANANE LOSE",1,0.83,"7","FV"
"DR. OETKER INTERM. SAL",1,1.49,"7","OTHER"
"DR. OETKER INTER. CHA",1,1.49,"7","OTHER"
"MILRAM QUARK",1,1.83,"7","MD"
"BIOL. FRI. MILCH 3,8%",1,1.35,"7","MD"
"BUKO INDIA",2,0.99,"7","MD"
"BIO JOGHURT ERDBEER",1,0.95,"7","MD"
"BIO JOGHURT HIMBEER",1,0.95,"7","MD"
"GRATINKÄSE GER. CLAS.",1,1.79,"7","MD"
"VEG. FLEISCHSALAT",1,0.99,"7","OTHER"
"MOZZARELLA",1,0.85,"7","MD"
"EXQUISA KÄSEK. LEMON",1,1.11,"7","MD"
"EXQUISA KÄSE. NATUR",1,1.11,"7","MD"
"LASAGNE",1,1.19,"7","OTHER"
"OREGANO GEREBELT",1,0.85,"7","OTHER"
"PIZZA GEWÜRZ",1,1.59,"7","OTHER"
"PFEFFERFOCACCIA",1,0.99,"7","OTHER"
"BÖREK STANGE",1,0.69,"7","OTHER"
"SCHOKO BRÖTCHEN",1,0.65,"7","OTHER"
