"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"RED VELV.COOKIE",2,1.29,"7","OTHER"
"STOLLENKONFEKT",1,4.69,"7","OTHER"
"TOMATEN-KAESE",1,2.57,"7","MD"
"QUARKMOUSSE",1,2.79,"7","MD"
"PLUS ANTIOX",1,2.29,"19","OTHER"
"SM MANGO MARACUJ",1,2.29,"19","OTHER"
"CANTALOUPE200G",1,1.99,"7","FV"
"ZITRONE",1,0.99,"7","FV"
"APFEL GO. DELI",1,1.51,"7","FV"
"PFLAUME",1,1.99,"7","FV"
"INGWER BIO",1,0.16,"7","FV"
"KAKI ENTBITTERT",1,0.79,"7","FV"
"TOMATE SARITA",1,1.29,"7","FV"
"PIZZA ROM",1,1.88,"7","OTHER"
"PIZZA BUDAPEST",1,1.88,"7","OTHER"
"LAUGENCRACKER",1,2.19,"7","OTHER"
"PRETZELS TO & KR",1,1.29,"7","OTHER"
"TUC MINI SC&ON",1,1.99,"7","OTHER"
"PISTAZIENK. GES.",1,6.49,"7","OTHER"
"MILKA SCHOKO&LU",1,1.11,"7","OTHER"
"MILKA SCHOKO&TUC",1,1.11,"7","OTHER"
"JOHANNISBEERE",1,1.75,"7","FV"
"INGWER SHOT",1,1.79,"7","OTHER"
"WILDKIRSCH ZKFR",1,1.75,"7","OTHER"
"EM-EUKAL BONBONS",1,1.75,"7","OTHER"
"INGWER-ORANGE",1,1.75,"7","OTHER"
"BONBONS EUKA",1,0.99,"7","OTHER"
"CHOKINI-GEBAECK",1,2.69,"7","OTHER"
"GEWUERZSPEKULAT.",1,1.69,"7","OTHER"
