"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KLC. KARTOFFELSALAT",1,2.49,"7","OTHER"
"K.NUDELSALAT 1KG",1,2.69,"7","OTHER"
"KLC EDAMER GER250G",1,1.79,"7","MD"
"KLC GOUDA GER. 250G",1,1.79,"7","MD"
"TOBLERONE",1,1.4,"7","OTHER"
"KI.C.FOCCACCIA 330G",1,1.39,"7","OTHER"
"SCHINKENPALETTE",1,2.3,"7","MD"
"CURRY KING SALSA",1,1.69,"7","OTHER"
"DUNKLE TÜTE",1,1.19,"7","OTHER"
"KONFEKT",1,1.19,"7","OTHER"
"WESTF. PUMPERNICKEL",1,1.89,"7","OTHER"
"K. MAASDAMER SCHEIB",1,2.39,"7","MD"
"MEL. AUSLESE",1,6.29,"7","OTHER"
"KLC TOMATENKETCHUP",1,1.29,"7","OTHER"
"KLC GOUDA ST. 450G",1,3.99,"7","MD"
"KLC SENF",1,0.69,"7","OTHER"
