"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BIO BB HAFER-MANDELDR. 1L",2,0.9,"19","OTHER"
"VEGOLA SONNBLUMENOEL 1L",1,1.69,"7","OTHER"
"BIO BB NL TOFU GERAU. 350G",2,2.19,"7","OTHER"
"RUE. VEG. SCHINKENSPIKERPAP. 80G",2,1.59,"7","OTHER"
"ALPRO FRUCHT SORT. 400G",1,1.99,"7","OTHER"
"LIKE VEGANES CHICKEN 180G",1,3.29,"7","OTHER"
"KROB RUSTI. DINKEL 400G",1,1.89,"7","OTHER"
"FFCHIPSFRISCHSALZ150G",1,1.99,"7","OTHER"
"BISCOTERIA WAFFELN SORT. 260G",1,1.39,"7","OTHER"
"KARTOFFELN ROT PFANNI 2,5KG",1,2.29,"7","OTHER"
"ZWIEBELN 2KG VKE",1,1.79,"7","FV"
"LIEBLINGS AEPFEL ROT 1KG",1,2.29,"7","FV"
"PAPRIKA ROT",1,1.03,"7","FV"
"LAUCHZWIEBELN",1,0.66,"7","FV"
"GURKEN",1,0.55,"7","FV"
"ZUCCHINI LOSE",1,0.68,"7","FV"
