"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"TRADIZIONALE SALAME",1,3.69,"7","OTHER"
"AMERICAN PANCAKES",1,1.59,"7","OTHER"
"GOLDEN LONGS 600G",2,2.79,"7","OTHER"
"PAULA SNACK 4X28G",1,1.49,"7","OTHER"
"KNUSPER MINIS 150G",2,2.99,"7","OTHER"
"MINI BABYBEL 9X20G",1,3.33,"7","MD"
"MILRAM PORRIDGE 160G",2,0.99,"7","OTHER"
"RAHMGEM-BLUMENK",1,2.99,"7","OTHER"
"MAC 'N' CHEESE CLASS",2,3.99,"7","OTHER"
"LIGHT LIVE",1,3.69,"19","OTHER"
"HAINICH APFELM.720ML",1,1.99,"7","OTHER"
"DATTELTOMATEN 250G",1,1.29,"7","FV"
"GRANINI DIE LIMO",1,7.74,"19","OTHER"
"GURKEN KLEIN",1,0.99,"7","FV"
"BIRNEN CONFERENCE",1,2.3,"7","FV"
"KAROTTEN LOSE",1,0.64,"7","FV"
"BAUMKUCHENSPITZEN VM",1,3.29,"7","OTHER"
"GEBRANNTE MANDELN",1,4.99,"7","OTHER"
"CRUNCHY FAVA-SNACK",1,2.69,"7","OTHER"
"BAUMKUCHENRING VM",1,4.49,"7","OTHER"
"HAR.1688UN.MILD.500G",1,1.89,"7","OTHER"
