"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"FARMERSCHINKEN",2,1.69,"7","MD"
"PUTENBRUST GEB",2,2.09,"7","MD"
"KAESEAUFSCHNITT",1,1.89,"7","MD"
"PATROS KRAEFTIG",1,3.29,"7","MD"
"FK BALANCE KR.",1,1.49,"7","MD"
"BRESSO KRAEUT",1,1.49,"7","MD"
"PIKANTE KRAEUTER",1,1.49,"7","OTHER"
"BRESSO KRAEUT",1,1.49,"7","MD"
"HEIDELBEERE 300G",1,4.29,"7","FV"
"KIWI GOLD",5,0.59,"7","FV"
"KAKI",3,0.49,"7","FV"
"SALAT ROMA HERZ",1,1.79,"7","FV"
"CHERRYROMATOMATE",3,0.79,"7","FV"
"PAPRIKA ROT",1,1.39,"7","FV"
"ZUCCHINI GRUEN",1,0.54,"7","FV"
"CHAMP. WEISS",2,1.99,"7","FV"
"EIER BH M-L",1,1.99,"7","MD"
"EIER MARM.",1,2.49,"7","MD"
"WW BROTAUFSTRICH",1,1.55,"7","OTHER"
"H-MILCH GVO-FREI",2,1.09,"7","MD"
"SPEISEQUARK MAG.",3,1.29,"7","MD"
"ACTIVIA ZERO",1,1.49,"7","MD"
"KINDER PARADISO",1,2.19,"7","OTHER"
"WESTERN STYLE",1,3.18,"7","OTHER"
"ERYTHRIT",1,3.65,"19","OTHER"
"PROTEIN SALT.",1,3.49,"7","OTHER"
"CINNAMON ROLLS",1,2.49,"7","OTHER"
"ZITRONEN MUFFINS",1,2.49,"7","OTHER"
"AUFSTRICH PAP. ZU",1,1.25,"7","OTHER"
"RAPSOEL JA!",1,1.49,"7","OTHER"
"GRUENE ERBSEN SG",1,1.19,"7","FV"
"CORNICHONS",3,1.29,"7","OTHER"
