"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"FINESSE",2,1.59,"7","MD"
"PUTENBRUST GEGR.",2,1.59,"7","MD"
"KUERBIS HOKKAIDO",1,0.62,"7","FV"
"JA! MARKENBUTTER",1,1.49,"7","MD"
"H-MILCH GVO-FREI",2,1.09,"7","MD"
"HAFERFL. KERNIG",1,0.69,"7","OTHER"
"BACKKAKAO",1,3.99,"7","OTHER"
"BIO VANILLEPASTE",1,2.99,"7","OTHER"
"ERDNUSSBUTTER",1,2.99,"7","OTHER"
"DORITOS BBQ",1,1.19,"7","OTHER"
"PRINGLES ORIG.",1,1.69,"7","OTHER"
"MONST. MUN. ORIG.",1,1.69,"7","OTHER"
"AMICELLI TAFEL",3,1.29,"7","OTHER"
"KNUSPERFLAKES",2,1.29,"7","OTHER"
"GZSZ",1,1.19,"7","OTHER"
"LACHG. JOGHURT",1,1.29,"7","OTHER"
"ZERO",2,0.89,"19","OTHER"
"COCA COLA",1,2.19,"19","OTHER"
"OR. MANGO ANAN",1,1.79,"19","OTHER"
