"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"PATROS LEICHT",1,3.29,"7","MD"
"SCHALOTTEN BIO",1,1.59,"7","FV"
"SALAT ROMA HERZ",1,1.19,"7","FV"
"KAROTTE BIO",1,0.56,"7","FV"
"PAPRIKA ROT",1,0.77,"7","FV"
"BIO EIER KL. S-L",1,2.99,"7","MD"
"BIO H-MILCH 1,5%",3,1.15,"7","MD"
"KOCHCREME",2,0.89,"7","MD"
"KRITHARAKI",1,1.69,"7","OTHER"
"BIO LEINSAMEN",1,1.99,"7","FV"
"SCHW .BOHN. CHILI",1,1.39,"7","OTHER"
"KIDNEYBOHNEN",1,0.69,"7","FV"
"PASSIERT. TOMATEN",2,0.69,"7","FV"
"PLUS SONNENVIT.",1,1.79,"19","OTHER"
"ESPRESSO SUPREMO",1,8.99,"7","OTHER"
