"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BAUERNGURKEN",1,2.99,"7","FV"
"ROMATOMATEN",1,1.39,"7","FV"
"HÄHNCH.DRUMSTICK BUF",1,3.99,"7","MD"
"FARMER-SCHINKEN",1,2.29,"7","MD"
"PUDD.M.SAHNE SCHOKO",1,0.39,"7","MD"
"PUDD.M.SAHNE VANILLE",1,0.39,"7","MD"
"SÜSSRAHMBUTTER",1,1.49,"7","MD"
"GRAND DESSERT COFFEE",1,1.19,"7","MD"
"CHIO DIP HOT CHEESE",1,2.49,"7","OTHER"
"CHIO DIP MILD SALSA",1,2.49,"7","OTHER"
"FR.EIER.A.BODENHAL.",1,1.99,"7","MD"
"H-MILCH 1,5%",2,0.99,"7","MD"
"ENERGY DRINK XXL",4,0.39,"19","OTHER"
"VOLVIC NATUREL.",6,1.19,"19","OTHER"
"WASSER MEDIUM",6,0.29,"19","OTHER"
"COCA-COLA CHERRY",1,3.99,"19","OTHER"
"ENERGY D. XXL",2,0.49,"19","OTHER"
"ARIZ. EIST. BLU.WHI.",1,1.39,"19","OTHER"
"ARIZONA EIST. GREEN",1,1.39,"19","OTHER"
"ALOE VERA DRINK",2,2.49,"19","OTHER"
"TORTIALLA NACHO KÄSE",1,1.59,"7","OTHER"
"TORTILLA SWEET TOMAT",1,0.99,"7","OTHER"
"TORTIALLA CR.CHEESE",1,0.99,"7","OTHER"
"BAGELS BRIOCHE",1,1.99,"7","OTHER"
"BUTTERTOAST",1,0.79,"7","OTHER"
"CROISSANT WIEN.",1,0.99,"7","OTHER"
"BUTTERWAFFELN KARAME",1,3.49,"7","OTHER"
"BERLINER M.FÜLL.",2,0.9,"7","OTHER"
"MILKA CHOCOMINIS",1,2.99,"7","OTHER"
"BUTTERSPRITZRINGE",1,2.69,"7","OTHER"
"HÄHNCHENBRUSTFILET",1,9.99,"7","MD"
