"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"PFEFFER SALAMI",1,2.29,"7","MD"
"LANDLIEBE SCHB.",1,2.59,"7","MD"
"TOMATE MINIRISPE",1,1.77,"7","FV"
"EIER FH RES S-L",1,1.99,"7","MD"
"HALBFETTMARGARINE",1,1.19,"7","OTHER"
"FR. WEIDEMILCH",1,1.25,"7","MD"
"SKYR NATUR",1,1.49,"7","MD"
"KNUS. JOGH. 3,8%",2,0.49,"7","MD"
"PIZZA MOZZARELLA",1,3.69,"7","OTHER"
"SOFTBAR STRAWB",1,2.69,"7","OTHER"
"SOFT BAR",1,2.69,"7","OTHER"
"BAREBELLS PEANUT",1,2.69,"7","OTHER"
"COOKIES & CREAM",1,2.69,"7","OTHER"
"SAL. PEANUT",1,2.69,"7","OTHER"
