"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"HA-MINISTEAKS",1,5.99,"7","MD"
"EXQUISA FITLINE",1,1.11,"7","MD"
"KARTOFFEL-GNOCCH",2,2.99,"7","OTHER"
"SONNENBL. KERNE",1,1.89,"7","FV"
"KNOBLAUCH",1,1.29,"7","FV"
"CHERRYROMATOMATE",1,1.15,"7","FV"
"PAPRIKA ROT",1,1.27,"7","FV"
"ZUCCHINI GRUEN",1,0.92,"7","FV"
"BIO KOKOS-REIS D",1,1.35,"19","OTHER"
"CREMEFINE",1,1.49,"7","OTHER"
"PENNE VOLLKORN",2,0.99,"7","OTHER"
"PESTO POMODORI",1,1.99,"7","OTHER"
"PEPSI COLA ZERO",1,1.49,"19","OTHER"
"POWER 5 LIMETTE",1,1.79,"19","OTHER"
