"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"DR. PEPPER 1,25L",1,1.99,"19","OTHER"
"BIO SWM H-MILCH",1,2.19,"7","MD"
"CHIQUITA BANANEN",1,1.99,"7","FV"
"CC VANILLA 0,33L",1,0.99,"7","OTHER"
"U.H. BUTTER MILDGES",1,1.99,"7","MD"
"DAIRYG. IR BUTTER",1,3.49,"7","MD"
"BIOE GURKEN",1,1.26,"7","FV"
"UH EIER BUH",1,2.89,"7","MD"
"UH EIER FLH",1,3.59,"7","MD"
"GRECO SAHNEJOGHURT",1,2.99,"7","MD"
"G&G RISPENTOMATEN",1,2.48,"7","FV"
"2E KIWIS GOLD",2,0.99,"7","FV"
"MOEHREN",1,1.99,"7","FV"
"HAEH-LEBER",1,2.55,"7","MD"
"EDK KARTOFFELN",1,2.99,"7","OTHER"
"STEINCHAMPIGNON",1,1.51,"7","FV"
"BL. FOREST SPR. 6X1L",1,4.99,"19","OTHER"
"BL. FOREST STILL. 6X1L",1,4.99,"19","OTHER"
