"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"CASTELLO CHEDDAR",1,1.79,"7","MD"
"FETA",1,2.49,"7","MD"
"BUKO TOMATE",1,1.99,"7","MD"
"SESAMRING SIMIT",2,1.49,"7","OTHER"
"BOEREK-STA. SPIN.",2,0.99,"7","OTHER"
"VITAL UND FIT",1,1.99,"7","OTHER"
"ROSENBROE. WEIZEN",1,1.99,"7","OTHER"
"CIABATTA OLIVE",1,2.99,"7","OTHER"
"HUMMUS NATUR",1,0.99,"7","OTHER"
"KR. BUTTERBAGUETT",1,0.99,"7","OTHER"
"ORANGENSAFT O. FR",1,2.69,"19","OTHER"
"ZITRONE",1,1.59,"7","FV"
"BANANE CHIQUITA",1,2.19,"7","FV"
"MIKRO. POP SUESS",1,0.99,"7","OTHER"
"AVOCADO VORGER.",2,1.19,"7","FV"
"RISPENTOMATE",1,1.26,"7","FV"
"CHERRYROMATOMATE",1,1.15,"7","FV"
"SALATGURKE",1,0.95,"7","FV"
"EIER FH WEISS",1,2.69,"7","MD"
"JOGH. GRIE. ART",2,2.19,"7","MD"
"STEINOFEN PIZZA",2,1.59,"7","OTHER"
"SCHWARZE OLIVEN",1,1.29,"7","FV"
"BIO OLIVEN",1,1.79,"7","FV"
"DORITOS SW CH P.",2,1.19,"7","OTHER"
"PRINGLES PIZZA",1,1.69,"7","OTHER"
"KNOPPERS RIEGEL",1,1.59,"7","OTHER"
