"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"COCA COLA",1,9.54,"19","OTHER"
"MULTIVITAMINSAFT",1,3.69,"19","OTHER"
"VALENSINA SÄFTE",3,1.79,"19","OTHER"
"ERBSEN MIT MÖHREN",2,1.69,"7","FV"
"FUSILLI LA CAMPAGNA",2,0.69,"7","OTHER"
"MAKKARONI LA CAMPAGNA",2,0.69,"7","OTHER"
"PASTASAUCE",2,1.59,"7","OTHER"
"MÜRITZER HERZHAFT",2,1.69,"7","MD"
"FRÜHSTÜCKSFLEISCH",1,1.59,"7","MD"
"EDAMER FRIJA",1,2.49,"7","MD"
"MARKENBUTTER FRIJA",3,1.39,"7","MD"
"ROSENBRÖTCHEN KERNIG",2,2.29,"7","OTHER"
"GERAMONT",1,3.79,"7","MD"
"BIERSCHINKEN",1,1.59,"7","MD"
"BRÜHWURST",1,1.99,"7","MD"
"GEFLÜ. BRÜHWURST",1,1.39,"7","MD"
"BAUERNBRÖTCHEN 6ER",1,0.99,"7","OTHER"
