"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"ACTIVIA JOGHURT",1,1.29,"7","MD"
"GAENSEF. MEDIUM",1,3.54,"19","OTHER"
"CRAZY WOLF SF",1,0.39,"19","OTHER"
"MCGLENNON SCOTCH07",2,8.29,"19","OTHER"
"SAFT BLUE BREAK",2,2.49,"19","OTHER"
"K. TRINKMAHLZEIT",1,2.49,"7","OTHER"
"SMOOTHIE KIWI",3,2.29,"19","OTHER"
"BUTTERTOAST 250G",1,1.29,"7","OTHER"
"MA. TERR. HACKFL. KÄS",1,0.79,"7","OTHER"
"RIEGEL BANANE",3,0.99,"7","OTHER"
"KTG PASTA SALAT",1,1.75,"7","OTHER"
"FOL EPI SCHEIBEN",1,1.59,"7","MD"
"FINESSE HÄHNCHENB.",1,2.59,"7","MD"
"PIZZA SALAMI",3,0.95,"7","OTHER"
"BANANEN BIO",1,2.01,"7","FV"
