"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"SALAMI",1,1.79,"7","MD"
"HAEHNCHENBRUST",1,2.19,"7","MD"
"PENNY GOUDA",1,2.34,"7","MD"
"ANNO 1688 DINKEL",1,2.49,"7","OTHER"
"BAGELS MEHRKORN",1,1.69,"7","OTHER"
"TZATZIKI",1,2.69,"7","MD"
"B-RAEUCHERLACHS",1,4.29,"7","MD"
"BÜRGER MAULTASCH",1,2.19,"7","OTHER"
"BAGUETTE HAEHN",1,1.99,"7","OTHER"
"SALATBOX GRIECH.",1,1.99,"7","OTHER"
"LANDMARK WINGS",1,4.49,"7","MD"
"WAGNER PIZZA",1,6.78,"7","OTHER"
"VOLVIC HIBISKUS",4,1.69,"19","OTHER"
"RED BULL 4ER",1,3.96,"19","OTHER"
