"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KOHL CHINA",1,1.61,"7","FV"
"AUBERGINEN",1,0.64,"7","FV"
"KÜRBIS HOK. BIO",1,1.62,"7","FV"
"ZWIEBELN ROT",1,1.39,"7","FV"
"K. CHAMPIGNONS",1,2.19,"7","FV"
"GURKEN",1,0.75,"7","FV"
"LAUCHZWIEBELN",1,0.59,"7","FV"
"PORREE",1,0.44,"7","FV"
"ROMATOMATEN",1,1.49,"7","FV"
"BIO LIMETTEN",1,1.99,"7","FV"
"GRANATAPFEL",1,0.99,"7","FV"
"ZITRONEN 750G",1,1.99,"7","FV"
"BIOLAND TOFU NATUR",1,2.19,"7","OTHER"
"BÜRGERGEMÜSEMAULTAS.",1,2.19,"7","OTHER"
"PREM. PASTA KÜRBIS-S.",1,1.99,"7","OTHER"
"BILLIE GR. VEG. BACON",2,1.49,"7","OTHER"
"GRANA PADANO 16 MO",1,4.25,"7","MD"
"BIO-EIER OKT 10ER",1,3.39,"7","MD"
"BIO GEMÜSEBRÜHE GLAS",1,1.39,"7","OTHER"
"BALANCE BROT",1,1.19,"7","OTHER"
