"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KARTOFFELN SÜß",1,2.48,"19","OTHER"
"TOMATEN STRAUCH",1,1.16,"7","FV"
"BANANE LOSE",1,0.98,"7","FV"
"ZUCCHINI",1,0.85,"7","FV"
"DATTELCHERRYTOMATEN",1,1.99,"7","FV"
"PAPRIKA, SPITZ MIX",1,2.79,"7","FV"
"GURKEN",1,0.69,"7","FV"
"KULTURHEIDELBEEREN",1,3.49,"7","FV"
"ARLA SKYR NATUR",1,2.99,"7","MD"
"GRIECH.JOGHURT",1,2.29,"7","MD"
"BIOLAND HIRTENKÄSE",1,2.19,"7","MD"
"FRISCHKÄSE BALANCE",1,1.69,"7","MD"
"BÜRGERGEMÜSEMAULTAS.",1,2.19,"7","OTHER"
"HAFERFLOCKEN KERNIG",1,0.69,"7","OTHER"
"ROGGENVOLLKORNBROT",1,0.79,"7","OTHER"
