"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"DINKELBUN XXL",1,1.69,"7","OTHER"
"VEG HACK-TASTIS.",1,3.19,"7","OTHER"
"VEG.SPICK.PAPRI",1,1.59,"7","OTHER"
"VEG.LACHSSCHIN",1,1.99,"7","OTHER"
"VEG. LANDSCHINK",1,1.69,"7","OTHER"
"SIMPLY V GRATIN",1,2.49,"7","OTHER"
"GENUSS SCHEIBEN",1,1.09,"7","OTHER"
"CHERRYROMATOMATE",1,1.11,"7","FV"
"SOJA VANILLE",1,1.99,"7","OTHER"
"VEGA. GULASCH PF",1,4.79,"7","OTHER"
"PAPRIKA EDELSUES",1,2.39,"7","OTHER"
"AVOCADO GEWUERZ",1,2.69,"7","OTHER"
"TOMATENKETCHUP",1,1.79,"7","OTHER"
"CC SRITE ZERO",1,1.39,"19","OTHER"
