"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"AQUA PLUS 1,5L",6,0.55,"7","OTHER"
"ANTIPASTI CREME",1,1.59,"7","OTHER"
"LORBEERBLÄTTER, GANZ",3,0.69,"7","FV"
"KARTOFFELN FK KLEIN",1,1.99,"7","OTHER"
"CC ZERO/LIGHT/KOFF. FRE",6,1.19,"19","OTHER"
"GRIECHISCHER FETA, 200",1,2.29,"7","MD"
"GEFÜLLTE MINI MUFFINS",1,1.89,"7","OTHER"
"KÖRNIGER FRISCHLÄSE",1,1.19,"7","MD"
"EIERSPÄTZLE/SCHUPFNUDE",1,1.79,"7","OTHER"
"PFLANZENMARGARINE",1,1.39,"7","OTHER"
"SKYR FRUCHT EINGERÜHRT",3,1.69,"7","MD"
"SKYR FRUCHT EINGERÜHRT",2,1.69,"7","MD"
"BIO WALNUSSKERNE",1,2.75,"7","FV"
"CHOCO KRÄNZEL/TATZEN",1,2.19,"7","OTHER"
"PFLANZENCREME",2,1.49,"7","OTHER"
"PROTEIN WRAPS",1,1.69,"7","OTHER"
"BRAT OLIVENÖL-SPRAY 20",1,2.69,"7","OTHER"
"PORRIDGE HAFERMAHLZEIT",2,1.89,"7","OTHER"
"HAFERFLOCKEN ZART",1,0.69,"7","OTHER"
"AMERICAN COOKIES",1,1.49,"7","OTHER"
"BIO KERNE-MIX",1,1.75,"7","FV"
"LAKTOSEFREIE H-MILCH",3,1.19,"7","MD"
"RISPENTOMATEN KG-WARE",1,0.27,"7","FV"
"PIZZA-/AUFLAUFKÄSE, 15",1,1.59,"7","MD"
"EIER BODENHALT. OKT. 18",1,3.39,"7","MD"
"CEVAPCICI XXL - QS",1,6.99,"7","MD"
"KNORR BASISSAUCEN",2,1.59,"7","OTHER"
"ZIMT",1,0.69,"7","OTHER"
"PFEFFER, SCHWARZ",1,0.85,"7","OTHER"
"MOZZARELLA 125G",1,0.85,"7","MD"
"KNORR FIX SPAG. BOLOGN",1,1.19,"7","OTHER"
"TOMATE FRITO",1,0.79,"7","OTHER"
"PASSIERTE TOMATEN",1,0.69,"7","FV"
"ÄPFEL PINK LADY",2,2.49,"7","FV"
"BANANEN",1,1.11,"7","FV"
"BANANEN",1,1.05,"7","FV"
