"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"JA !- HUEFTSTEAK",1,5.46,"7","MD"
"POM.LEBERW. FEIN",1,1.49,"7","MD"
"GOUDA JUNG",1,3.99,"7","MD"
"LAUGENSTANGE",2,0.49,"7","OTHER"
"BAUERNSCHNITTEN",1,0.89,"7","OTHER"
"BERGBAUERNMI 3,5",2,1.19,"7","MD"
"GR. JOGHURT PUR",1,1.49,"7","MD"
"PIZZA SALAME PIC",1,3.49,"7","OTHER"
"DUE SAL. PROSCI",1,3.49,"7","MD"
"FLAMMKUCHEN",1,3.49,"7","OTHER"
"HAFERFL. ZART",1,0.69,"7","OTHER"
"CORNY HAFERKR.",1,1.59,"7","OTHER"
"MILCH CLASSIC",1,1.59,"7","OTHER"
"CORNY SCHOKO",2,1.59,"7","OTHER"
"CHIPS",1,1.09,"7","OTHER"
"STAPELCHIPS PAPR",1,1.49,"7","OTHER"
"ALPENVOLLM. NUSS",1,0.99,"7","OTHER"
"MONSTER ULTR.WHI",4,0.77,"19","OTHER"
