"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KARTOFFELN SÜß",1,1.42,"19","OTHER"
"BANANE LOSE",1,0.52,"7","FV"
"PAPRIKA MIX",1,0.99,"7","FV"
"AVOCADO VORGER.",1,0.99,"7","FV"
"GRANATAPFEL",1,0.69,"7","FV"
"HERZHAFTE SALAT",1,2.49,"7","OTHER"
"BIO TOFU WEIß",1,2.19,"7","OTHER"
"SOJAJOGHURT NATUR",1,0.99,"7","OTHER"
"FRISCHKÄSE 20%",1,1.19,"7","MD"
"HALLOUMI G.U.",1,2.49,"7","MD"
"TRAD. HUMMUS NATUR DE",1,0.99,"7","OTHER"
"BUKO BALANCE",1,0.99,"7","MD"
"BIO HAFERDRINK",8,0.9,"19","OTHER"
"LÖSLICHER KAFFEEGOLD",1,6.29,"7","OTHER"
"PUDDINGPULVER VANIL.",1,0.45,"7","OTHER"
"TOMATENS. BASILIKUM",1,1.45,"7","OTHER"
"BIO-EIER OKT 10ER",1,3.39,"7","MD"
"WALNUSSKERNE",1,1.99,"7","FV"
