"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"LEERDAMMER",1,5.55,"7","MD"
"FARMERSALAT",1,1.69,"7","OTHER"
"EIERSALAT",1,1.69,"7","OTHER"
"BROCCOLI",1,1.79,"7","FV"
"KAROTTE",1,0.77,"7","FV"
"JOGHURT",1,1.29,"7","MD"
"FRISCHMILCH 1,8%",1,1.11,"7","MD"
"H-MILCH 3,8%",2,1.11,"7","MD"
"SPEISEQUARK 20%",2,0.79,"7","MD"
"FRU. JOGH. APRIKOS",1,0.44,"7","MD"
"FRU. JOGH. KIRSCHE",1,0.44,"7","MD"
"FRUCHTJ. ERDB. SP",1,0.44,"7","MD"
"PIZZA SCHINKEN-A",1,2.22,"7","OTHER"
"OFENFRISCH. PIZZA",2,2.22,"7","OTHER"
"PIZZA THUNFISCH",1,2.22,"7","OTHER"
"RUSSISCH BROT",2,0.99,"7","OTHER"
"HOHES C",2,2.99,"19","OTHER"
