"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"WEIZENVOLLK. SAND",1,1.09,"7","OTHER"
"VEGAN. SCHNITZEL",1,1.99,"7","OTHER"
"GENUSS SCHEIBEN",1,1.09,"7","OTHER"
"APFEL SHAMPION",1,1.69,"7","FV"
"BIRNE GRUEN",1,1.49,"7","FV"
"TRAUB. DUN. KERNL.",1,1.89,"7","FV"
"AVOCADO VORGER.",1,1.19,"7","FV"
"KUERB. HOKKAIDO",1,1.64,"7","FV"
"ROTE BEETE",1,0.66,"7","FV"
"CHERRY ROMA BIO",1,1.49,"7","FV"
"EIER BH M-L",1,1.99,"7","MD"
"MARGARINE",1,1.29,"7","OTHER"
"VEGANE CREME",1,0.79,"7","OTHER"
"JA! WEIZENMEHL",1,0.59,"7","OTHER"
"TROCKENBACKHEFE",1,0.79,"7","OTHER"
"CURRY CHICKEN",3,0.59,"7","OTHER"
"BAUTZN QUETCH UP",1,1.99,"7","OTHER"
"DELI. MAYONNAISE",1,1.69,"7","OTHER"
"KICHERERBSEN",2,0.59,"7","FV"
"DIP HOT SALSA",1,1.39,"7","OTHER"
"FRED FERKEL",1,1.19,"7","OTHER"
"REWE MIWA STILL",6,0.29,"19","OTHER"
