"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"ROTK.KNUSPERTALER BREZEL 2X75G",1,2.49,"7","OTHER"
"ROTK.MOZZA.STICKS+DIP150G",1,2.49,"7","MD"
"GL GOUDA JUNG SHB 400G",1,2.49,"7","MD"
"RUE.VEG.SCHIN.SP.SCHN.80G",2,1.59,"7","OTHER"
"GL SANDWSHB GOUDA OGT200G",1,2.69,"7","MD"
"FERR.NURELLAEISB.470ML",1,5.49,"7","MD"
"BUERGER GNOCCHI SORT.500G",1,2.59,"7","OTHER"
"GRAND. GRANDUNO SORT. 190G",3,0.49,"7","MD"
"GL CREME FRAICHE NATUR 200G",1,1.09,"7","MD"
"LIEKEN URKORN VITAMINBROT 400G",1,1.89,"7","OTHER"
"BIO CHAMPIGNON 250G VKE",1,1.89,"7","FV"
