"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"H-MILCH 3,5% 1L",5,1.09,"7","MD"
"DINKELTOASTBROT",1,0.99,"7","OTHER"
"BUKO FRISCHKÄSE",1,1.29,"7","MD"
"WIENER WÜRSTCHEN",1,3.19,"7","MD"
"WEICHKÄSE MINI",1,1.79,"7","MD"
"BIO-KOER. FRISCHK.",2,1.45,"7","MD"
"HÜHNER NUDELTOPF",1,1.89,"7","OTHER"
"HIMBEEREN, TIEFGE",1,4.49,"7","FV"
"ANANAS SCHEIBEN",2,1.59,"7","OTHER"
"BROKKOLI 500G",1,1.29,"7","FV"
"GER. MAULTASCHEN",1,2.49,"7","OTHER"
"SPEISEZWIEBELN ROT",1,0.99,"7","FV"
"ZWIEBELN BIO 750G",1,1.29,"7","FV"
"FLOTTE BIENE 500G",1,5.99,"7","OTHER"
"ALASKA SEELACHSF.",1,5.69,"7","MD"
"BIO-STEIN-VOLLKORN",1,2.19,"7","OTHER"
"CIABATTA",1,0.59,"7","OTHER"
"HERZHAFTE EDELSAL",1,1.69,"7","MD"
"HÄHNCHEN-SPEZIALIT",1,1.39,"7","MD"
"SÜßKARTOFFELN",1,1.96,"7","FV"
"FRÜHSTÜCKSBRÖTCHEN",1,0.69,"7","OTHER"
"KAESEAUFSCHNITT",1,1.89,"7","MD"
"GURKE STK",1,0.99,"7","FV"
"KAKI KD 1KG",1,1.75,"7","FV"
"WEIHENSTEPH BUTTER",1,1.99,"7","MD"
"JOGHURT 4X 150G",1,0.75,"7","MD"
"F&G RIND HACK 500G",1,6.49,"7","MD"
"RISPENTOMATEN 1KG",1,2.59,"7","FV"
"BANANEN RFA",1,1.61,"7","FV"
"LAUCH/PORREE STK",1,0.59,"7","FV"
"TRAUBEN DUNK. 500G",1,1.49,"7","FV"
"MÜL KEFIR U. AYRAN",1,0.5,"7","MD"
