"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"PAPRIKA ROT",1,0.89,"7","FV"
"BANANE LOSE",1,1.03,"7","FV"
"BIO BABY SPINAT",1,1.49,"7","FV"
"BIO SPEISEKARTOFFEN",1,1.79,"7","OTHER"
"BIO COCKTAILSTR.TOMA",1,3.29,"7","FV"
"APFEL ROT SÜß",1,1.69,"7","FV"
"KNOBLAUCH",1,0.89,"7","FV"
"PHILADELPHIA MILKA",1,2.29,"7","MD"
"GRIECH. JOGHURT 10%",1,2.29,"7","MD"
"FEINE GNOCCHI",1,1.79,"7","OTHER"
"H-MILCH1,5% HF3",1,0.99,"7","MD"
"RFA O-SAFT 100%",1,1.99,"19","OTHER"
"BRÖTCHEN LAUGE",1,0.39,"7","OTHER"
"KÄSESTANGE KÜR.",1,0.99,"7","OTHER"
"HÄHNCHENINNENFILETS",1,4.99,"7","MD"
