"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KVEG. HUMMUS",1,0.99,"7","OTHER"
"KLC.LASAGNE GELB",1,1.19,"7","OTHER"
"KVEG. BIO TEMPEH",1,2.25,"7","OTHER"
"MILRAM LEUCHTFEUER",1,1.61,"7","OTHER"
"KFAV GRANAPAD.150G",2,2.22,"7","OTHER"
"GRAT-PIZZ.KÄSE250G",1,1.52,"7","MD"
"KVEG. TOFU",2,1.64,"7","OTHER"
"KBIO.HAFERFLOCK.KL",1,0.85,"7","OTHER"
"ROOIBOS VANILLE",1,1.19,"7","OTHER"
"K.CREME FRAICHE",3,1.09,"7","MD"
"KLCTORT.SPIRIC400G",1,1.51,"7","OTHER"
"K.CAMEMBERT RUND",1,1.09,"7","MD"
"KLC.ERDN.GERÖS/GES",1,0.99,"7","OTHER"
"GURKEN",1,0.69,"7","FV"
"MIE NUDELN MIT EI",1,1.89,"7","OTHER"
"BIO FENCHELANISKÜM",1,0.95,"7","FV"
"VITAMALZ 075",1,0.99,"19","OTHER"
"SOJA GRANULAT",2,2.09,"7","OTHER"
"KBIO. ROGGENBROT",1,0.95,"7","OTHER"
"SALAMI CHORIZO VG",1,1.29,"7","MD"
"RISTOR.VEGETALE",1,1.79,"7","OTHER"
"ZWIEBELN 2KG",1,1.29,"7","FV"
"KBIO PASS. TOMATEN",2,0.69,"7","FV"
"BIO JOGHURT 3,8",1,1.27,"7","MD"
"KART. 2,5KG VFK",1,2.99,"7","OTHER"
"KBIO.GEMÜSEMAIS",1,0.85,"7","FV"
"KBIO.KICHERERBSEN",1,0.85,"7","FV"
"LAUCHZWIEBELN",1,0.69,"7","FV"
"FEINSCHMECKERKRUS.",1,1.99,"7","OTHER"
"STEINOFENBAGUETTE",1,1.19,"7","OTHER"
"PAPRIKA ROT 500G",1,0.99,"7","FV"
"KBIO.FETA",1,2.22,"7","MD"
"NIMM2 LACHGUMMI",1,1.89,"7","OTHER"
"KVEG. HUMMUS",1,0.99,"7","FV"
"MÖHREN 1KG",1,1.29,"7","FV"
"KLC GEH. TOM. 425",2,0.59,"7","FV"
"KÜRB.HOKKA.",1,1.15,"7","FV"
"COCKTAILTOMATEN",1,2.29,"7","FV"
"APOSTELS ZAZIKI",4,0.99,"7","MD"
"ALPRO SOJAJOGHURT",1,1.49,"7","MD"
"KNOBLAUCH 200G",1,1.29,"7","FV"
"KLC.RAPSÖL",1,1.49,"7","OTHER"
"ROMANA-MINI",1,0.99,"7","FV"
"MINI-PAK CHOI 300G",1,1.79,"7","FV"
"APFEL 1KG ROT",1,2.19,"7","FV"
"KIWI GRÜN",4,0.49,"7","FV"
"BANANEN",1,0.86,"7","FV"
