"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BROCCOLI",1,1.2,"7","FV"
"ARLA SKYR NATUR",1,1.1,"7","MD"
"VEGANES SCHNITZEL",2,1.85,"7","OTHER"
"LATTE MACCHIATO",2,0.92,"7","MD"
"VEG. LEBERW. SCHNITT",1,1.6,"7","OTHER"
"BIO KAKAO HAFERDRINK",1,1.07,"19","OTHER"
"BIO SONNENMAIS",2,0.97,"7","FV"
"VEGANER LINSENTOPF",1,1.75,"7","OTHER"
"ERBSEN SEHR FEIN",2,0.83,"7","FV"
"KIDNEY BOHNEN",2,0.64,"7","FV"
"BRÖTCHEN VKBIOL",5,0.51,"7","OTHER"
"MÄRSCH CASHEWKERNE",1,2.22,"7","FV"
"FARMER COOKIE TRIPLE",1,1.66,"7","OTHER"
"KATJES WUNDEL. SAUER",1,1.1,"7","OTHER"
"KATJESVITAMINIS COLA",1,1.1,"7","OTHER"
