"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"LEERD. DELACREME",2,1.49,"7","MD"
"GM BIO-WEIDENMILCH",2,1.89,"7","MD"
"GERAMONT LEICHT",1,3.49,"7","MD"
"SALAT MULTICOLOR",2,1.29,"7","FV"
"K. ERDBEEREN",1,3.49,"7","FV"
"K. MOZZARELLA GER.",1,1.79,"7","MD"
"KBIO. ESL-MILCH 1,5",2,1.25,"7","MD"
"K. DESSERTSOßE VA.",1,1.39,"7","MD"
"MINI-PAK CHOI 300G",2,1.49,"7","FV"
"ROMANA-MINI",1,0.79,"7","FV"
"KPUR. HÄHNCHENMÄGEN",1,1.99,"7","MD"
"LEERD. CARACTERE",2,1.49,"7","MD"
"LEERDAMMER LEICHT",1,1.49,"7","MD"
"SALAT HÄHNCHEN 300G",1,2.49,"7","OTHER"
"K. EIER",3,2.39,"7","MD"
"KLC. BACKCAMEMBERT",1,2.99,"7","MD"
"FARMERSALAT",1,2.19,"7","OTHER"
"K. MOZZARELLA STICK",1,2.19,"7","MD"
"KBIO HÄHN. SCHENKEL",1,6.21,"7","MD"
"RINDERBRUST",1,7.74,"7","MD"
"SCHWEINESCHMALZ",1,1.07,"7","MD"
"AIRFRYER POMMES",1,1.09,"7","OTHER"
"AIRFRYER HÄN",1,1.09,"7","MD"
"KOHLRABI",1,0.39,"7","FV"
"AIRFRYER MEXI.",1,1.09,"7","OTHER"
"KLC. RAHMSPINAT",1,0.89,"7","OTHER"
"AIRFRYER HÄN KÄSE",1,1.09,"7","MD"
"MA. SUPPE LAUCHCRE.",1,1.19,"7","OTHER"
"BARILLA BIO-PESTO",1,2.44,"7","OTHER"
"KLC. KIDNEYBOHNEN",1,0.69,"7","FV"
"KLC. HÜHNERSUPPE",1,0.59,"7","OTHER"
"MA. GAT MINIONSHUHN",1,0.99,"7","OTHER"
"KN. FIX KEBAB",1,1.19,"7","OTHER"
"FRÜHST. AUFSCHNITT",1,2.09,"7","MD"
"SONNTAGSAUFSCHNITT",1,3.21,"7","MD"
"ELSÄSS. FLAMMKUCHEN",1,1.99,"7","OTHER"
"S. -MINUTENST. DÜNN",1,3.39,"7","MD"
"ENTENBRUSTFILET",1,3.33,"7","MD"
"KLC CR. KNOZWI 100G",1,1.09,"7","OTHER"
"GURKEN",2,0.89,"7","FV"
"BROCCOLI 500G",1,1.61,"7","FV"
"BIRNEN 1,5KG",1,2.49,"7","FV"
"KLC THUN. SALATCOUS",1,1.11,"7","OTHER"
"K. GUACAM MILD 150G",1,1.39,"7","OTHER"
"TAFELÄPFEL CAMEO",2,1.99,"7","FV"
"KNOBLAUCH 200G",1,1.29,"7","FV"
"ZWIEBELSCHMALZ",1,1.49,"7","OTHER"
"TRAUBE BLAU/ROT",1,2.51,"7","FV"
"NC CLASSIC CREMA",1,5.49,"7","OTHER"
"BIO MÖHREN 1KG",1,1.79,"7","FV"
"VITAL-SAATEN BRÖ",1,1.99,"7","OTHER"
"LAVASH",1,2.39,"7","OTHER"
"KFAV TOMATEN KRÄUT",1,0.99,"7","OTHER"
"ROSENBRÖTCHEN",1,2.49,"7","OTHER"
"HEYYY KAUGUMMI",1,2.49,"7","OTHER"
"SCHWEIZER WECKLI",4,0.29,"7","OTHER"
"ETOILE MIWA",1,1.39,"19","OTHER"
