"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"ACTIVIA VANILLE",2,1.69,"7","MD"
"BIO MOEHREN",1,1.59,"7","FV"
"BIOLA. HACKFLE",2,8.99,"7","MD"
"OETK. VANILL. Z",2,0.79,"7","OTHER"
"BIO SCHWARZW. MILCH",1,1.99,"7","MD"
"MILKA ALPENMILCH",3,0.99,"7","OTHER"
"ALPRO JOG. ALT",2,1.99,"7","OTHER"
"BIO UHB KARTOFFELN",1,2.49,"7","OTHER"
"ORANGEN",1,1.99,"7","FV"
"BIO ALN. BAKE",2,1.79,"7","OTHER"
"KUEHNE DILLSCHNIT.",1,2.49,"7","FV"
"SWM LAC SPEI. QUARK",1,1.39,"7","MD"
"HENGS. BURG. GURKEN",1,2.39,"7","FV"
"HERZ. STEAKFRITES",1,1.49,"7","OTHER"
"FROSTA GEMUESE MIX",1,1.99,"7","FV"
"WILT. SALAMI",2,2.29,"7","MD"
"HERTA SCHINKEN",2,2.59,"7","MD"
"BIO E. ROSTBRATW.",1,3.99,"7","MD"
"HOFGL. WIENER WUER.",1,2.99,"7","MD"
"KERRYG. BURG. CHEDD",2,1.59,"7","MD"
"LANDL. JOGHURT",2,1.11,"7","MD"
