"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"HER FIN HAEHN BR",1,2.59,"7","MD"
"CHEDDAR WUERZIG",1,1.79,"7","MD"
"BIO GOUDA SCHB.",1,1.99,"7","MD"
"EXQUISA SAHNIGE",1,1.11,"7","MD"
"BAGELS MEHRKORN",2,1.89,"7","OTHER"
"IRISCHE BUTTER",1,2.39,"7","MD"
"KAFFEEDRINK LATTE",1,0.75,"7","MD"
"FROOP HIMBEER 5%",1,0.44,"7","MD"
"FROOP ERDBEER 5%",1,0.44,"7","MD"
"PENNE SPIN. E POM",1,2.79,"7","OTHER"
"TORTELLONI GEMUE",1,2.79,"7","OTHER"
"WAGNER PICCOLINI",1,1.88,"7","OTHER"
"PESTO ROSSO",1,1.99,"7","OTHER"
"JOGHURT SCHOKOL.",1,1.11,"7","MD"
"CARAMEL",1,1.11,"7","OTHER"
"MILKA SCHOKO&TUC",1,1.11,"7","OTHER"
