"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KLC. MIMELLI 4X 100G",2,1.19,"7","MD"
"KLC. NOUGAT POCKETS",1,2.49,"7","OTHER"
"K. H-MILCH",2,0.99,"7","MD"
"K. H-MILCH",1,0.97,"7","MD"
"BENS LANGKORNREIS",1,4.49,"7","OTHER"
"RINDERHACKFLEISCH",1,4.99,"7","MD"
"ERAS. NUDELTOPF",1,3.29,"7","OTHER"
"KLC. AUFSTR. EI/SCHN",1,1.29,"7","OTHER"
"KLC. AUFSTR. TO. MOZ.",1,1.29,"7","OTHER"
"MÜ. JOGH. M. D. ECKE",4,0.89,"7","MD"
"IGLO WÜRZ-SPINAT",1,2.69,"7","OTHER"
"K. WIENER FETTR.",1,3.19,"7","MD"
"K. KÄSEAUFSC. LEICHT",2,1.89,"7","MD"
"MEDITERRANES BROT",1,1.29,"7","OTHER"
"K. EIER",1,1.99,"7","MD"
"HÜHNER FRIKASSEE",1,4.79,"7","OTHER"
"TORTELLINI KÄSE",1,4.79,"7","OTHER"
"K. ERBSEN M. MÖHREN",2,0.89,"7","FV"
"BAUER SKYR",2,1.89,"7","MD"
"RED BULL SUGARFREE",4,1.39,"19","OTHER"
"HIMBEEREN 125G",1,1.99,"7","FV"
"KLC. SALAMI 1A",1,1.69,"7","MD"
"SCHINKEN COUNTRY",1,2.59,"7","MD"
"KLC BISKUITS NUSS",1,1.49,"7","OTHER"
"APPEL MSC HEFI",1,1.99,"7","MD"
"SÄCHS. LEBERKÄSE",2,1.99,"7","MD"
"BH ERKÄLTUNGSTEE",2,0.99,"7","OTHER"
"FUNNY JUMPYS",1,1.99,"7","OTHER"
"KAKI PERSIMON",2,0.49,"7","FV"
"KLC. PENNE RIGATE",1,0.69,"7","OTHER"
"RED BULL SUMMER ED",1,1.39,"19","OTHER"
"KRUSTENBROT",1,1.55,"7","OTHER"
"WIENERLE CROISSANT",3,0.99,"7","OTHER"
"LAUGENBREZEL",2,0.39,"7","OTHER"
