"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KLC. HAFERFLOCKEN",2,0.69,"7","OTHER"
"KBIO. GRÜNE LINSEN",1,1.45,"7","FV"
"KLC GOUDA DER. 250G",1,1.79,"7","MD"
"KBB MIESMUSCH. 1KG",1,2.99,"7","MD"
"K. SPEISEQUARK",1,1.29,"7","MD"
"K. NATURJOGHURT",3,0.99,"7","MD"
"KLC SKYR NATUR",4,1.49,"7","MD"
"KBIO. CHIASAMEN",1,1.85,"7","FV"
"KBIO. ROTE LINSEN",1,1.45,"7","FV"
"KFAV. FETA",2,2.29,"7","MD"
"KLC. MSC WILDLACHS",1,3.69,"7","MD"
"KBIO HANFSAMEN",1,2.95,"7","FV"
"KVEG. TOFU GERÄUC.",1,2.19,"7","OTHER"
"BIO-UNSER PURES",2,2.89,"7","OTHER"
"KBIO. BIOL. HAFER",1,1.25,"7","OTHER"
"KLC: WEIZENMEHL",1,0.59,"7","OTHER"
"KBIO-ZUCCHINI 500G",1,1.99,"7","FV"
"ROSENKOHL 750G",1,0.99,"7","FV"
"ROTE BEETE",1,1.1,"7","FV"
"RUCCOLA SALA 125G",1,0.99,"7","FV"
"KRÄUTERS. 150G",1,2.99,"7","FV"
"BIO SHITAKE 150G",1,2.99,"7","FV"
"CHAMP. RIESEN 400G",1,2.49,"7","FV"
"GRÜNKOHL 650G",1,2.99,"7","FV"
