"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"G&G WEIZENMEHL",1,0.79,"7","OTHER"
"HERZ. RAHMSPINAT",2,1.19,"7","OTHER"
"HERZ. KIN. PUNSCH 1L",1,1.99,"19","OTHER"
"FG KAISERJAGDWURST",1,1.81,"7","MD"
"FG PAPR.SCHINKENWURST",1,1.86,"7","MD"
"PP GELBWURST",1,1.92,"7","MD"
"PP GELBWURST",1,1.91,"7","MD"
"G&G MULTI. NEK. 1,5L",2,1.59,"19","OTHER"
"G&G APFELNEKT. 1,5L",1,1.45,"19","OTHER"
"G&G CREME 7%",2,0.89,"7","MD"
"G&G EDELSALAMI",1,1.69,"7","MD"
"CC ZERO KF. 0,5L",1,1.29,"19","OTHER"
"G&G GEFLUEG. WIENER",1,3.19,"7","MD"
"G& G GEBAECKMISCH.",1,2.89,"7","OTHER"
"BOOSTER 0,33L",4,0.89,"19","OTHER"
"BOOSTER EXOT. 0,33L",2,0.89,"19","OTHER"
"MILCH-SCHNITTE",1,2.99,"7","OTHER"
"G&G KNUSP. STRACCI.",1,2.49,"7","MD"
"G&G VAN. KAR. HOERN.",1,2.19,"7","MD"
"G&G L. F. H-MILCH 1L",2,1.19,"7","MD"
"LAMG. ERDNUSSBERGE",1,2.99,"7","OTHER"
"G&G WAFFELROELLCH.",1,1.99,"7","OTHER"
"G&G BASMATI REIS",1,2.99,"7","OTHER"
"G&G LEBERKAESE",2,3.49,"7","MD"
"G&G SPAGHETTI-EIS",2,1.79,"7","MD"
"G&G MOZZARELLA",2,1.79,"7","MD"
"G&G KÄSEAUFSCHN.",1,1.89,"7","MD"
"G&G EMMENTALER",1,2.49,"7","MD"
"HERZ. MEHR. KRACHER",1,1.99,"7","OTHER"
"MAGGI FIX SPAGHET.",4,0.49,"7","OTHER"
"MAGGI GAP SUPPE",9,0.69,"7","OTHER"
"MAGGI FIX TO. BOLO.",3,0.49,"7","OTHER"
"G&G CREME FRAICHE",2,1.09,"7","MD"
"HERZ. DESSERT",1,0.49,"7","MD"
"G&G LEBERWURST",1,1.39,"7","MD"
"LEIMER BACKERBSEN",1,1.99,"7","OTHER"
"DELVE. GNOCCHI",1,1.89,"7","OTHER"
"G&G KARTOFFELN",1,1.79,"7","OTHER"
"FUNNY CHIPSFRISCH",1,1.19,"7","OTHER"
"G&G WIENER WUERST.",1,6.99,"7","MD"
"G&G EIERKNOEPFLE",3,1.79,"7","OTHER"
"G&G SUESSSTOFF FL.",1,1.35,"19","OTHER"
"G&G SANDW. TOAST W.",1,1.09,"7","OTHER"
"FUNNY-FR. CHIPSFRI.",2,1.19,"7","OTHER"
"BIO E. ZITRONELLO",1,0.79,"7","OTHER"
"G&G EISTEE 6X 0,5L",2,2.94,"19","OTHER"
"HERZ. SCHOKOPUDDING",1,1.99,"7","MD"
"ALM. FRISCHKÄSE",1,1.11,"7","MD"
"KNOPPERS RIEGEL",3,1.44,"7","OTHER"
"G&G SPRITZGEBAECK",1,2.49,"7","OTHER"
"G&G SCH. KN. MUESLI",1,2.29,"7","OTHER"
"YUM INSTANTNUDELN",4,0.69,"7","OTHER"
"G&G CRACKER GES.",1,1.49,"7","OTHER"
"MAGGI TOM. SAUCE",3,1.49,"7","OTHER"
"MUELLERMILCH",4,1.69,"7","MD"
"NUTELLA&GO",2,1.29,"7","OTHER"
"HERZ. ICE TEA 1,5",5,1.34,"19","OTHER"
"CC CHERRY 0,33L",1,0.75,"19","OTHER"
"BOOSTER 0,33L",2,0.89,"19","OTHER"
"G&G CHAMPIGNONS",1,1.99,"7","FV"
"POWER. MANGO 0,5L",1,1.49,"19","OTHER"
"BOOSTER JUIC. 0,33L",2,0.89,"19","OTHER"
"HONIGPOMELOS",1,2.99,"7","FV"
"G&G OR. LIMO. 9X0,5L",1,2.99,"19","OTHER"
"G&G BANANEN",1,1.28,"7","FV"
"WELLH.BROTZEITEIER",1,2.49,"7","MD"
"HERZ. TRAUB. KL. MIX",1,1.99,"7","FV"
"GURKEN UTP",1,0.69,"7","FV"
"TOMATEN",1,2.77,"7","FV"
