"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"G&G HÄH.GESCHNET.",1,4.99,"7","MD"
"G&G MOZZARELLA",1,1.59,"7","MD"
"G&G CR.FRISCH",2,1.19,"7","MD"
"BELEG WURST/SCHINKEN BED / P",1,4.37,"7","MD"
"TANTE F.FLAM.BÖD.",1,2.89,"7","OTHER"
"CORNY SÜß&SALZIG",1,1.59,"7","OTHER"
"CORNY HAFERKRAFT",1,1.59,"7","OTHER"
"CORNY FREE PE.CH.",1,1.59,"7","OTHER"
"G&G EIER AUS FLH",1,2.69,"7","MD"
"HERZ.MÖHREN",1,1.29,"7","FV"
"BACKWAREN HM",1,1.15,"7","OTHER"
"BIO INGWER",1,0.86,"7","FV"
"KARTOFFELN",1,0.72,"7","OTHER"
"MINIGURKEN",1,1.04,"7","FV"
