"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BANANEN LOSE",1,1.57,"7","FV"
"TOMATEN STRAUCH",1,1.3,"7","FV"
"LACHSSEITE M. H.",1,15.54,"7","MD"
"AVOCADO",1,2.99,"7","FV"
"GRAPEFRUIT",2,0.69,"7","FV"
"ZITRONEN 750G",1,1.99,"7","FV"
"ORANGEN",1,3.69,"7","FV"
"KNOBLAUCH",1,0.89,"7","FV"
"SELLERIE KNOLLE",1,1.69,"7","FV"
"BLUMENKOHL",1,1.49,"7","FV"
"KROKETTEN",1,1.43,"7","OTHER"
"MANGO",1,3.49,"7","FV"
"KASHKAVAL KÄSE (OGT)",1,3.99,"7","MD"
"BURRATA",1,1.69,"7","MD"
"HIRTENKÄSE 45% (OGT)",1,1.61,"7","MD"
"NATURJOGHURT MILD",2,0.99,"7","MD"
"TRAD. HUMMUS NATUR DE",1,0.99,"7","OTHER"
"FRISCHKÄSE 20%",1,1.19,"7","MD"
"KAMILLENTEE 70%",1,1.4,"7","OTHER"
"MILCHREIS",1,0.84,"7","OTHER"
"LINGUINE",1,0.69,"7","OTHER"
"SPAGHETTI",1,0.69,"7","OTHER"
"DIAMANT RÜBENZUCKER",1,0.99,"7","OTHER"
"BIO SPÄTZLE",1,1.45,"7","OTHER"
"BIO BANDNUDELN",1,1.45,"7","OTHER"
"BIO BULGUR",1,1.05,"7","OTHER"
"EIER FREILAND. XXL",1,3.99,"7","MD"
"BIO TOMATENMARK",1,0.95,"7","FV"
"SCHWARZE OLIVEN M. S",1,2.99,"7","FV"
"KAPERN - CAPUCINES",1,0.79,"7","FV"
"SONNENMAIS",1,0.99,"7","FV"
"ERBSEN SEHR FEIN",1,0.89,"7","FV"
"CHAMPIGNONS 1. WAHL",1,1.39,"7","FV"
"WEIZEN SANDWI. TOAST",1,0,"7","OTHER"
"DONUT SCHOKO",2,0.295,"7","OTHER"
"MANDELN GEMAHLEN",1,2.99,"7","FV"
"RINDERHACKFLEISCH",1,9.99,"7","MD"
