"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BANANE LOSE",1,0.85,"7","FV"
"DATTELCHERRYTOMATEN",1,1.99,"7","FV"
"PAPRIKA GRÜN, SPITZ",1,1.79,"7","FV"
"GURKEN",2,0.89,"7","FV"
"ZWIEBELN ROT",1,0.99,"7","FV"
"PAPRIKA ROT",1,0.85,"7","FV"
"SNACK GURKEN",2,1.11,"7","FV"
"SPINAT",1,1.99,"7","FV"
"KAKI/SHARON",5,0.59,"7","FV"
"APFEL ROT, SÜß-SÄUERL",1,1.95,"7","FV"
"KÖTTBULLAR",1,2.49,"7","MD"
"BLÄTTERTEIG",2,0.94,"7","OTHER"
"HÄHNCHENBRUSTF.CURRY",1,1.59,"7","MD"
"HÄHNCHENBRUSTF.PAPR.",1,1.59,"7","MD"
"HIRTENKÄSE 45%",2,1.89,"7","MD"
"EMMENTALER GERIEBEN",1,1.79,"7","MD"
"GRIECH.JOGHURT2%",3,2.29,"7","MD"
"KASESCHEIBENTILSITER 1,19 X",2,0.99,"7","MD"
"DELIKAT. MAYONNAISE",1,1.69,"7","OTHER"
"EIER BODENHALT. 18ER",1,3.39,"7","MD"
"DELIKATESS ROTKOHL",1,1.19,"7","FV"
"RAMEN KIT TOM YUM",2,1.99,"7","OTHER"
"RAMEN KIT CURRY",1,1.99,"7","OTHER"
"THUNFISCHSTEAK",3,1.29,"7","MD"
"COCA COLA ZERO",3,1.39,"19","OTHER"
"TROPIC LEMONADE",2,0.39,"19","OTHER"
"LAUGEN BREZEL K",1,0.99,"7","OTHER"
"POMMELS ORIGINAL",1,1.99,"7","OTHER"
"SALZBREZELN",1,0.99,"7","OTHER"
"TORTILLA SWEET TOMAT",1,0.99,"7","OTHER"
"CHIPSCRACKER PAPRIKA",1,1.49,"7","OTHER"
"WEIZEN SANDWI. TOAST",1,1.09,"7","OTHER"
"LASCH. ONIGIRI",1,1.59,"7","OTHER"
"SCHWEINEHACKFLEISCH",1,2.99,"7","MD"
