"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"AS MOZZ. STICKS M. DIP 250G",1,2.19,"7","MD"
"AS FINGERFOOD SORT. 250G",1,2.19,"7","OTHER"
"GRO. HP HP DRINK SORT. 330ML",5,1.19,"7","OTHER"
"GL ZAZIKI 500G VLOG",1,1.65,"7","OTHER"
"FROSTA FERTIG. NWSORT. AB450G",1,2.49,"7","OTHER"
"HAEHN. GESCHNEZELTES SORT. 750G",1,6.99,"7","MD"
"KORNMUEHLE NOUGAT BITS 750G",1,2.29,"7","OTHER"
"GROP. PROTEINPUDDING SORT. 200G",3,0.99,"7","MD"
"EHR. PROT. PUD. HASELN. 200G",1,0.99,"7","MD"
"GRAN. PR. PU. GR. ORT. 500G",1,1.79,"7","OTHER"
"EHR. HP MOUSSE SORT. 500G",1,1.99,"7","MD"
"VL BUNTE EIER BH 10ST",1,2.49,"7","MD"
"AVOCADOS 500G VKE",1,2.29,"7","FV"
"SPITZPAPRIKA ROT 500G",1,1.49,"7","FV"
