"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"ANANAS",1,1.79,"7","FV"
"BIO TRAUBEN KERNLOS",1,3.49,"7","FV"
"BIOL. FRUCHTJ. ERDB.",2,0.59,"7","MD"
"BIOL. FRUCHTJ. MANGO",1,0.59,"7","MD"
"BIOL. FRUCH. HEID. CA.",1,0.59,"7","MD"
"BIO-EIER OKT 10ER",1,3.39,"7","MD"
"FOOD IN ABOTT. VANILL",1,2.49,"19","OTHER"
"WASSER MEDIUM",6,0.29,"19","OTHER"
"PFANNER WASSERMELONE",1,1.19,"19","OTHER"
"COCA COLA",1,0.99,"19","OTHER"
"LIDL TREK VITAMINW.",1,0.39,"19","OTHER"
"ADVENSKALENDER",1,17.99,"7","OTHER"
"OBSTRIEGEL CR-KIRSCH",1,1.49,"7","OTHER"
"MÜSLIRIEGEL BANANE",1,1.29,"7","OTHER"
"BIO FRISCHEI-WAFFELN",1,1.35,"7","OTHER"
