"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"RF HA-INNENBRUST",1,4.99,"7","MD"
"VOLLKORNSANDWICH",1,2.99,"7","OTHER"
"BANANE",1,1.48,"7","FV"
"PAKCHOI MINI",1,1.59,"7","FV"
"ROMARISPENTOM.",1,2.49,"7","FV"
"EIER FL OKT 10ER",1,2.99,"7","MD"
"IRISCHE BUTTER",1,2.39,"7","MD"
"FR.QUARK HONIG",1,1.99,"7","MD"
"SKYR NATUR",1,1.49,"7","MD"
"COLLEZ. FARFALLE",1,1.99,"7","OTHER"
"TAGLIATELLE",1,1.99,"7","OTHER"
"UDON NUDELN",2,0.89,"7","OTHER"
"CORNY SCHOKO",2,2.29,"7","OTHER"
"COOKIES & CREAM",1,2.29,"7","OTHER"
"CORNY HAFERKR.",1,2.29,"7","OTHER"
"PESTO CALABRESE",1,1.99,"7","OTHER"
"KIMCHI CHINAKOHL",1,2.99,"7","FV"
"MAOAM 5ER",3,0.79,"7","OTHER"
