"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"T.A. SALATBEUTEL II SORT.AB150G",1,0.69,"7","FV"
"SPITZPAPRIKA ROT 500G",1,1.49,"7","FV"
"LC OLIVEN M. PAPRIKAPASTE 200G",1,1.99,"7","FV"
"ZITRONEN 500G VKE",1,1.69,"7","FV"
"MINIGURKEN 750G",1,2.49,"7","FV"
"GW HUMMUS SORT. 200G",1,0.99,"7","OTHER"
"BERGBAUERN SHB MILD 150G",1,1.49,"7","MD"
"BIO BB EIER 10 ST",1,3.39,"7","MD"
"COCKTAILRISPEN TOMATEN 500G",1,1.99,"7","FV"
"BIO BB ESL-MILCH 3,8% 1L",1,1.35,"7","MD"
"GL WEIDEMILCH 3,5% 1L",1,1.09,"7","MD"
"ALMETTEFRISCHK.SORT. 150G",1,1.29,"7","MD"
"BIO NL ZWIEBEL ROT500GVKE",1,1.49,"7","FV"
