"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"COCACOLAZERO",2,4.17,"19","OTHER"
"MONSTER PEACHYKE 0,5",3,0.79,"19","OTHER"
"MONSTER ROSSI 0,51",3,0.79,"19","OTHER"
"MONSTER ULTRA 0,5",3,0.79,"19","OTHER"
"MONST UL. ROSA 0,5L",3,0.79,"19","OTHER"
"MON.U.STR.DR. 0,5L",3,0.79,"19","OTHER"
"MONATERUITRAGOLD 0,5",3,0.79,"19","OTHER"
"ABENST. STILL 12X11",1,4.92,"19","OTHER"
"WEIH.H-MILCH 3,5%",3,1.05,"7","MD"
"BO SAUCE ANANAS",1,1.79,"7","OTHER"
"BO SAUCE KANT. PIK.",1,1.79,"7","OTHER"
"BO SAUCE GENUSE",1,1.79,"7","OTHER"
"COCACOLAZERO 1,51",2,1.89,"19","OTHER"
"HAHN. INNENBRUSTFILET",1,4.99,"7","MD"
"METZGEREL SB PLU 602",1,2.32,"7","MD"
"METZGEREI SB PLU 602",1,2.4,"7","MD"
"METZGEREI SB PLU 602",1,4.08,"7","MD"
"METZGEREI SB PLU 602",1,4.63,"7","MD"
"WEIZENBROTCHEN 10ER",1,1.39,"7","OTHER"
