"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"APFEL GRÜN",1,0.74,"7","FV"
"ZUCCHINI",1,0.29,"7","FV"
"BANANE FAIR BIO",1,0.5,"7","FV"
"BROCCOLI",1,1.69,"7","FV"
"BIO MINI MÖHREN 200G",1,0.99,"7","FV"
"GURKEN",1,0.69,"7","FV"
"KIWI LOSE",3,0.49,"7","FV"
"DATTELCHERRYTOMATEN",1,1.99,"7","FV"
"CREME Z. KOCHEM 7%",1,0.89,"7","MD"
"SKYR VANILLE",1,1.69,"7","MD"
"HUMMUS NATUR",1,0.99,"7","OTHER"
"BIOL.WEIZENM.TYPE550",1,0.85,"7","OTHER"
"BIOL WEIZEN.TYPE1050",1,0.85,"7","OTHER"
"KOKOSNUSS-MIL LIGHT",1,1.19,"7","FV"
"TORTILLA WRAPS VOLL.",1,1.29,"7","OTHER"
"WAINUSSKERNE",1,3.59,"7","FV"
