"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"TRAUBEN HELL OK",1,3.69,"7","FV"
"APFEL ROT",1,2.96,"7","FV"
"MANDARINEN/CLAU",1,3.99,"7","FV"
"KARTOF.MEHR.KOCH 2KG",1,1.59,"7","OTHER"
"ORANGEN 1,5 KG",1,2.89,"7","FV"
"BIO ZUCCHINI",1,1.69,"7","FV"
"KNOBLAUCH",1,0.89,"7","FV"
"STRAUCHTOMATEN",1,1.99,"7","FV"
"DR.OETKER INT.THUNF.",2,1.69,"7","OTHER"
"NORDSEE ASC KNUS.GAR",1,3.49,"7","MD"
"BIOL. FRI.MILCH 3,8%",3,1.35,"7","MD"
"GOUDA GERIEBEN",2,1.79,"7","MD"
"KEFIR MILD NATUR XXL",1,0.99,"7","MD"
"LE GRUYÉRE",2,3.99,"7","MD"
"CREME FRAICHE NATUR",1,1.09,"7","MD"
"KERRYGOLD EXTRA GES.",1,3.99,"7","MD"
"SPEISEQUARK 0%",2,1.29,"7","MD"
"BIO-EIER OKT 10ER",2,3.05,"7","MD"
"BIO SPAGHETTI HWG",2,0.85,"7","OTHER"
"WALNUSSKERNE",1,1.99,"7","FV"
"SNACK-MANDELN",1,2.22,"7","FV"
