"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KOHL WEIß",1,2.38,"7","FV"
"ZUCCHINI",1,1.33,"7","FV"
"BANANEN FAIRTRA",1,1.34,"7","FV"
"KOHL WEIß",1,1.12,"7","FV"
"KARTOFFELN",1,3.6,"7","OTHER"
"ROMATOMATEN",1,1.42,"7","FV"
"MÖHREN 1KG",1,1.04,"7","FV"
"GEF. CREMETÖ. PASTAEIS",1,2.99,"7","OTHER"
"HALLOWEEN KARTOFFELN",1,1.49,"7","OTHER"
"FRESH. BIOGEM. ASIA",1,2.49,"7","FV"
"GEMÜSEMISCHUNG",1,2.39,"7","FV"
"TILLMANSTOASTY HÄHN.",1,2.79,"7","MD"
"HÄHNCH. MINISCHNITZEL",1,3.99,"7","MD"
"FLAN KARAMELL",2,1.69,"7","MD"
"GOUDA GERIEBEN",1,1.79,"7","MD"
"SÖDERGARDEN UNGES.",1,1.39,"7","MD"
"BIO BULGUR",2,1.05,"7","OTHER"
"COCA COLA CLASSIC",2,1.39,"19","OTHER"
"VALENSINA ROTER MUL.",2,1.39,"19","OTHER"
"GEWÜRZSPEKULATIUS",1,1.69,"7","OTHER"
