"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BANANE LOSE",1,0.71,"7","FV"
"KOHLRABI",2,0.59,"7","FV"
"BIO BABY SPINAT",1,1.39,"7","FV"
"MANGO",1,0.99,"7","FV"
"GEFLÜGEL-/SCHIN",1,1.59,"7","MD"
"KÄSESCHEIBENTILSITER",1,0.99,"7","MD"
"BIO SALAMI PFEFFER",1,2.49,"7","MD"
"EIERKNÖPFLE",1,1.79,"7","OTHER"
"SCHLAGSAHNE 30%",1,0.99,"7","MD"
"GRIECHISCHER FETA",1,2.29,"7","MD"
"BIO-EIER OKT 10ER",1,3.39,"7","MD"
"MULINO BIANCO CHICCHE",1,2.22,"7","OTHER"
"ROSINENBRÖTCHEN",1,1.49,"7","OTHER"
"MEHRKORNSCHNITTEN",1,1.19,"7","OTHER"
