"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BIO MÖHREN 1KG",1,1.79,"7","FV"
"SCHOKO EULE",5,0.7,"7","OTHER"
"KLC.MILCHREIS",2,0.79,"7","OTHER"
"KN.KRÄUTERSOSSE",1,0.79,"7","OTHER"
"GRILL-PFANNENKÄSE",1,1.49,"7","MD"
"HÄHNCHENBRUST",1,1.39,"7","MD"
"PUTENBRUST",1,1.49,"7","MD"
"LEERDAMMER SCHEIB.",1,1.49,"7","MD"
"LEERDAMMEN LEICHT",1,1.49,"7","MD"
"FLEISCHWURST",1,5.14,"7","MD"
"HALLOWEEN MUFFIN",1,2.97,"7","OTHER"
"DONUT HALLOWEEN",3,0.39,"7","OTHER"
"FREIBAD POMMES",2,1.59,"7","OTHER"
"ITALP. GRILLFEST",1,2.48,"7","OTHER"
"CORDON BLEU BRATEN",1,8.06,"7","MD"
"SCHASCHLIKPFANNE",1,4.49,"7","MD"
"THÜR.ROSTBRATWURST",1,5.29,"7","MD"
"HEIDELBEEREN 125G",1,1.11,"7","FV"
"ERDBEEREN 250G",1,1.79,"7","FV"
"GURKEN",1,0.89,"7","FV"
