"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"THE GREEN MOUNTAIN VEGANES STEAK PLANT BASED",2,4.49,"19","OTHER"
"KARTOFFELN MEHLIGKOCHEND",1,1.99,"7","FV"
"SPARGELHOF WERNER HOKKAIDO KÜRBIS",1,1.99,"7","FV"
"ZITRONEN",1,1.75,"7","FV"
"EDEKA HEIMATLIEBE PETERSILIE GLATT",1,1.29,"7","FV"
"EDEKA HEIMATLIEBE BASILIKUM",1,1.29,"7","FV"
"THYMIAN",1,1.29,"7","FV"
"ROSMARIN",1,1.29,"7","FV"
"GUT&GÜNSTIG PRINZESSBOHNEN",1,2.49,"7","FV"
"KNOHBLAUCH FRISCH",1,1.49,"7","FV"
"ALNATURA BIO KÜRBISKERNE",1,3.99,"7","FV"
"EDEKA HEIMATLIEBE ZWIEBELN ROT",1,1.39,"7","FV"
"LÖWENSENF BIO DIJON SENF",1,2.49,"7","OTHER"
"EDEKA GENUSSMOMENTE BURRATA IN LAKE 50%",3,1.99,"7","MD"
"GUT&GÜNSTIG SAURE SAHNE 10%",1,0.69,"7","MD"
"DR. OETKER FRISCHE HEFE",1,0.49,"7","OTHER"
