"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"ZUCHINI",1,1.8,"7","FV"
"SCHB. KUERBISK.",1,1.59,"7","FV"
"LH CAMENBERT",1,0.99,"7","MD"
"EMMENTALER GER.",2,1.99,"7","MD"
"KAMINKAESE KR.",1,2.29,"7","MD"
"VITAL&FIT BROT",1,1.19,"7","OTHER"
"TORTELLONI SP/RI",1,3.89,"7","OTHER"
"LINSEN BULGURSA.",1,0.99,"7","OTHER"
"SALATBOX. HAEHN.",1,2.49,"7","OTHER"
"HIMBEEREN",1,2.49,"7","FV"
"TRAUBE DUNKEL KL",1,1.89,"7","FV"
"WALNUSSKERNE EX.",1,2.69,"7","FV"
"PAPRIKA ROT",1,1.39,"7","FV"
"CHAMPIGNONS BR.",1,2.12,"7","FV"
"EIER FH 10ER OKT",1,2.39,"7","MD"
"BIO JOGHURT FIT",1,0.99,"7","MD"
"FRU&KNUSP BANANE",1,0.79,"7","FV"
"BIO FR. KNUSPER B",1,0.79,"7","OTHER"
"FRU&KNUSP ANA-KO",1,0.79,"7","OTHER"
"FRUCHT&KNUSPER",1,0.79,"7","OTHER"
"GREENL. GEMÜSE",1,1.99,"7","MD"
"GREENL. GEMÜSE",1,1.99,"7","MD"
"MINI ROLLEN GEM.",2,2.79,"7","OTHER"
"DG WELLENBANDNU.",1,1.39,"7","OTHER"
"BRÜGGEN FRÜCHTE",1,2.39,"7","OTHER"
"WALDFR. SCHNITTE",3,1.49,"7","OTHER"
"CHILIOEL",1,2.39,"7","OTHER"
"BARILLA BAS-ZUCC",1,1.99,"7","OTHER"
"KITKAT CHUNKY",1,1.99,"7","OTHER"
"COLOR-RADO",2,1.49,"7","OTHER"
"VITAMIN+PFIRS.",1,1.69,"19","OTHER"
"VITAMIN+ZITR.",2,1.69,"19","OTHER"
"LIMO OR. + LEM. GR.",1,1.29,"19","OTHER"
"ENJOY APFEL-JOH. GRANINI 0,99",1,1,"19","OTHER"
