"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"KART. 2,5KG FK",1,2.99,"7","OTHER"
"GÜSTR. MIWA MEDIUM",1,2.34,"19","OTHER"
"KLC MIWA STILL",1,1.74,"19","OTHER"
"K. KONDENSMILCH",5,0.89,"7","MD"
"K-BIO HONIG CREMIG",1,3.85,"7","OTHER"
"ROGGEN-BRÖTCHEN",2,1.99,"7","OTHER"
"SCHWED. KÖTTBULLAR",1,6.99,"7","MD"
"FROSTA BAMI GORENG",2,2.99,"7","OTHER"
"ÜLTJE ERDNÜSSE",1,1.39,"7","OTHER"
"ORANGEN 2,0KG",1,2.49,"7","FV"
"IGLO FILEGRO",2,2.29,"7","MD"
"K. BUTTER",1,1.49,"7","MD"
"KIRSCHPLUNDER",1,0.79,"7","OTHER"
"KNACKWURST KÜMMEL",1,2.69,"7","MD"
"ZITRONEN NETZ",1,1.79,"7","FV"
"BIO-LEBERWURST",1,3.29,"7","MD"
"DINKELBROT",1,1.65,"7","OTHER"
"KVEG. TYROLINI 70G",1,1.47,"7","OTHER"
"MEGGLE EMMENTALER",1,1.29,"7","MD"
"BANANEN",1,0.59,"7","FV"
"KLC SCHWW. SCHINKEN",1,2.49,"7","MD"
"STREMELACHS DILL",1,2.79,"7","MD"
"MEGGLE KRÄUTERKÄSE",1,1.29,"7","MD"
"K.KAFFEESAHNE",1,0.99,"7","MD"
"ZWIEBELN GELB",1,0.2,"7","FV"
"STERZING NATURJOG.",2,0.85,"7","MD"
"RITTER HALBBITTER",1,1.11,"7","OTHER"
"ROSENKOHL 750G",1,1.49,"7","FV"
"RICOLA APFELMINZE",1,1.59,"7","OTHER"
"KLC STUFU CLASSIC",1,2.29,"7","FV"
"MANNER SNACK MINIS",1,2.22,"7","OTHER"
