"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"ZUCCHINI",1,1.65,"7","FV"
"ZUCCHINI",1,0.69,"7","FV"
"HEIDELBEEREN",1,3.49,"7","FV"
"AVOCADO",1,2.75,"7","FV"
"PAPRIKA ROT",2,0.99,"7","FV"
"K. CHAMPIGNONS",1,1.46,"7","FV"
"BIO GURKEN",1,0.82,"7","FV"
"QSHÄHNCHENBRUST F.NA.",1,4.87,"7","MD"
"CORDON BLEU UNGEGART",1,4.6,"7","MD"
"WELLENSCHNITT POMMES",1,1.37,"7","OTHER"
"HALLOWEEN KARTOFFELN",1,1.19,"7","OTHER"
"GRANA PADANO GERIEB.",1,2.48,"7","MD"
"HILCONA TOR. GNOCCHI",1,3.03,"7","OTHER"
"CREME FRAICHE NATUR",2,1.09,"7","MD"
"BUTTERKÄSE (OGT)",1,1.92,"7","MD"
"BAGUETTES XXLKRÄUTER",1,1.8,"7","OTHER"
"GRATINKÄSE GER. LIGHT",1,1.65,"7","MD"
"GOUDA GERIEBEN",1,1.65,"7","MD"
"EMMENTALER GER.",1,1.65,"7","MD"
"BIOL. FRUCHTJ. ERDB.",3,0.59,"7","MD"
"CURRY BOCKW. SNACKER",1,1.28,"7","MD"
"JOGHURT MILD 0,1%",1,0.82,"7","MD"
"FR. EIER A. BODENHAL.",1,1.56,"7","MD"
"NATUR RADLER 0,0",3,0.49,"19","OTHER"
"CROISSANT BUTT.",3,0.49,"7","OTHER"
"FRISCHEI-WAFFELN",1,1.15,"7","OTHER"
"WEIZENMISCHBROT GES.",1,0.82,"7","OTHER"
"QS PUTENHACKFL. GEW.",2,2.69,"7","MD"
