"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"G&G COLA MIX 1,5L",1,0.65,"19","OTHER"
"G&G M. PFL. TOM",2,1.99,"7","FV"
"G&G TRAUBEN",1,1.69,"7","FV"
"G&G SONN. ÖL",1,1.69,"7","OTHER"
"HERZ. PETERSILIE",1,0.99,"7","FV"
"LIE.URK.BAUERNMILD",1,1.89,"7","OTHER"
"G&G BLÜTENHONIG",1,2.69,"7","OTHER"
"LIE. URK. BAUERNMILD",1,1.89,"7","OTHER"
"ALPRO JOGHURT",1,1.99,"7","OTHER"
"G&G SCHLAGSAH",2,0.99,"7","MD"
"G&G SCHW. GULASCH",1,3.99,"7","OTHER"
"G&G DEL. KR. SCHINK.",1,1.69,"7","MD"
"G&G PAPRIKAMIX",1,1.39,"7","FV"
"LAUCH",1,1.32,"7","FV"
