"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"LAND FK-RHODOS",1,3.84,"7","OTHER"
"LAND-FK-RHODOS",1,3.53,"7","OTHER"
"BAUER FRU. JOGHURT",2,0.99,"7","MD"
"BAUER JOGHURT",1,0.99,"7","MD"
"BAUER FRUDO",1,0.99,"7","MD"
"MILRAM DESSERTSOSS",2,2.19,"7","OTHER"
"BACKFISCH MA.REM.",2,2.49,"7","MD"
"K. SPEISEQUARK",1,1.29,"7","MD"
"FERRERO PINGUI",1,1.89,"7","OTHER"
"FERRERO PINGUI",1,2.99,"7","OTHER"
"DELV. FARFALLE",2,0.77,"7","OTHER"
"GRILLBROT SALZKRU.",1,0.79,"7","OTHER"
"DARK CRODOT",2,1.29,"7","OTHER"
"WALNUSSBAGUETTE",1,1.69,"7","OTHER"
"NUSS-NOUGAT-CROISS",1,0.69,"7","OTHER"
"SCHOGI-VANILLEKANN",1,0.99,"7","OTHER"
