"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"STICKADO CHILI",1,1.79,"7","OTHER"
"HAEHNCHEN HIGH",1,1.79,"7","MD"
"EDELCREME SAHNE",1,1.11,"7","MD"
"BRESSO KRAEUT",1,1.49,"7","MD"
"SUESSKARTOFFEL",1,1.7,"19","OTHER"
"WIRSING",1,3.09,"7","FV"
"PAKCHOI",1,1.59,"7","FV"
"CHAMP. BRAUN BIO",1,1.97,"7","FV"
"STREICHGUT GESAL",1,1.39,"7","MD"
"STREICHGUT UNGES",1,1.39,"7","MD"
"FISCHSTÄBCHEN",1,2.49,"7","MD"
"KOKOSRASPEL",1,1.45,"7","FV"
"BIO KOKOSMILCH",1,0.99,"7","OTHER"
"KICHERERBSEN",1,0.59,"7","FV"
"HARIBO KONFEKT",1,0.79,"7","OTHER"
"HARIBO ROULETTE",1,0.79,"7","OTHER"
"HARIBO COLORADO",1,0.79,"7","OTHER"
