"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"TAVINA ACQUA",1,0.69,"19","OTHER"
"KLC. PRO AQUA APFEL",1,0.55,"19","OTHER"
"KLC. KRÄUTERBAGUET.",3,0.99,"7","OTHER"
"POTATO BUNS",2,1.99,"7","OTHER"
"K. CHILI CHEESE NUG",1,2.19,"7","MD"
"RED BULL ENERGY",2,0.97,"19","OTHER"
"ROUG. OFENK. WÜRZIG",1,2.99,"7","MD"
"BULDAK CHICKEN",2,2.29,"7","OTHER"
"K. MOZZARELLA STICK",1,2.19,"7","MD"
"KLC. PIZZAKIT",1,1.59,"7","OTHER"
"HEINZ SPICY BURGER",1,2.99,"7","OTHER"
"RUBIUS EX. CREMIG",1,2.99,"7","OTHER"
"THUNF. ST. I. SB-ÖL",1,1.99,"7","MD"
"KLC. HIRTENKÄSE",1,1.89,"7","MD"
"K-FEE CAFISSIMO",1,3.49,"7","OTHER"
