"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"FRISCHFLEISCH",1,3.63,"7","MD"
"JA! MAASDAMER",1,2.39,"7","MD"
"MOZZARELLA GER",1,1.79,"7","MD"
"AMERICAN SANDWI.",1,1.09,"7","OTHER"
"VEG. BACON WUERF.",1,1.99,"7","OTHER"
"ZITRONE",1,1.99,"7","FV"
"CHIQUITA BANANEN",1,0.33,"7","FV"
"AEPFEL",1,0.57,"7","FV"
"BIRNE ABATE",1,1.24,"7","FV"
"CANTALOUPE MELON",1,3.49,"7","FV"
"KIWI GRUEN",4,0.99,"7","FV"
"KOCHCREME",4,0.99,"7","MD"
"SAHNEPUDDING",1,0.99,"7","OTHER"
"SAHNEPUD. SCHOKO",1,0.99,"7","OTHER"
"SPAGHETTI",1,0.69,"7","OTHER"
"PENNE RIGATE",1,0.69,"7","OTHER"
"PESTO RICOTTA",1,1.99,"7","OTHER"
"BIG RED DRAGEES",1,0.99,"7","OTHER"
"CC Z. KOF. EW",1,5.56,"19","OTHER"
"LIEBLINGSBOHNE",1,9.99,"7","OTHER"
