"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"LENT. PIZZA RUSTICA",1,3.99,"7","OTHER"
"FUNNY CHIPSFRISCH",2,1.19,"7","OTHER"
"NIMM2 SOFT",1,1.19,"7","OTHER"
"FUNNY FR. GOLDF.",1,1.49,"7","OTHER"
"BIO E. ESL-MIL",2,1.35,"7","MD"
"HERZ. PARMIGIANO",1,3.99,"7","MD"
"HARIBO PICO-BALLA",1,1.19,"7","OTHER"
"PP BUN. MORTADELLA",1,1.8,"7","MD"
"HERZ. EDELSALAMI",1,1.79,"7","MD"
"ROCK. BLUEB. PO 0,5L",1,0.89,"19","OTHER"
"GLÜCKSG. MAN. 0",3,0.59,"19","OTHER"
"FANTA CASSIS 0,33L",1,0.65,"19","OTHER"
"COCA-COLA",2,0.65,"19","OTHER"
"TOBLERONE",1,1.69,"7","OTHER"
"PRINZEN ROLLE SCH.",1,1.69,"7","OTHER"
"LANDL. JOGHURT",1,1.11,"7","MD"
"BERN. NUDELSAU",2,1.34,"7","OTHER"
"WICKLEIN LEBKUCHEN",1,2.22,"7","OTHER"
"BIO E. GOUDA",1,1.59,"7","MD"
"HENGLEIN KNÖPFLE",1,2.49,"7","OTHER"
"FERRERO ROCHER",1,3.99,"7","OTHER"
"DITT. OLIV. PAPR. PA.",1,2.69,"7","OTHER"
"G&G FRISCHKÄSE",1,1.69,"7","MD"
"BIOE GURKEN",1,0.99,"7","FV"
"BERN. PESTO",1,1.79,"7","OTHER"
"G&G SONN. BLUMENÖL",1,1.69,"7","OTHER"
"BIO ZITONEN",1,2.79,"7","FV"
