"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"FRICO GOUDA JG",1,8.58,"7","MD"
"PATROS KRAEFTIG",1,3.29,"7","MD"
"KUERBISKERNBR",2,0.39,"7","OTHER"
"CHRISTSTOLLEN",1,3.99,"7","OTHER"
"RAEUCHERLACHS",1,4.79,"7","MD"
"ZITRONE",1,1.49,"7","FV"
"PHYSALIS O. BLATT",1,1.49,"7","FV"
"KIWI GOLD",4,0.59,"7","FV"
"BH EIER 10ER L",1,3.99,"7","MD"
"JA! MARKENBUTTER",1,1.49,"7","MD"
"H-MILCH GVO-FREI",1,1.09,"7","MD"
"KAFFEESAHNE 10%",1,0.99,"7","MD"
"SPEISEQUARK 40%",1,0.89,"7","MD"
"RAHMJOGH. HIMBEER",1,0.99,"7","MD"
"ACTIVIA ZERO",1,1.49,"7","MD"
"FEINJOGHURT APRI",1,0.99,"7","MD"
"ERBSEN SEHR FEIN",1,2.39,"7","FV"
"KART. KNOEDEL 6ER",1,1.79,"7","OTHER"
"DRESS. JOGH. KR",1,1.99,"7","MD"
"SCHWARZKIRSCHE",1,2.79,"7","OTHER"
"CHIPSFRISCH",2,1.29,"7","OTHER"
"KRAEUTER ORIG OZ",1,2.35,"7","OTHER"
"NATURELLE",2,3.79,"19","OTHER"
"DOMINO ZB",1,2.79,"7","OTHER"
