"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BUDWEISER BUDVAR MW20X0,5L",1,18.99,"19","OTHER"
"AS SANDWICH VOLLKORN 750G",1,1.09,"7","OTHER"
"GL HIRTENKAESE 45% 250G",1,1.89,"7","MD"
"CLARKYS STAPELCHIPS PAPR. 175G",1,1.49,"7","OTHER"
"WAGN. ELSAESSER FLAMMKUCHEN300G",1,3.39,"7","OTHER"
"SAT. KOKOSMILCH SORT. 400ML",1,1.19,"7","OTHER"
"PAULANER SPEZI 0,5 FL",1,0.78,"19","OTHER"
"BAUER FRUCHTJOGHURT SORT. 250G",1,0.49,"7","MD"
"PAPRIKA ROT",1,1.49,"7","FV"
"BIO ZUCCHINI",1,1.49,"7","FV"
"HAEHNCHEN-BRUSTFILET",1,4.99,"7","MD"
