"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"TRAUBEN HELL 500G",1,1.79,"7","FV"
"NUSS-NOUGAT-CROISS",2,0.69,"7","OTHER"
"BIO-ZUCCHINI 500G",1,1.69,"7","FV"
"EISBERGSALAT",2,0.89,"7","FV"
"HONIG DOSIERFL.",1,2.69,"7","OTHER"
"LEBKUCHEN, SCHOKOL",1,2.29,"7","OTHER"
"BRIOCHE BURGER BR",1,1.69,"7","OTHER"
"SETTELESUPPENEINL.",1,1.99,"7","OTHER"
"GQB CHICOREE 500G",1,1.59,"7","FV"
"BIO NL KÄSESTÜCKE",2,2.39,"7","MD"
"SCHMELZSCHEIBEN",1,1.69,"7","MD"
"OLIVENVARIATION",1,1.19,"7","FV"
"ANTIPASTI CREME",1,1.59,"7","OTHER"
"RISPENTOMATEN LOSE",1,1.23,"7","FV"
"ANTIPASTI 150G",2,1.99,"7","OTHER"
"BIO TOMATENKETCHUP",1,1.29,"7","OTHER"
"DEUTSCH. CAMEMBERT",1,1.09,"7","MD"
"BANANEN FAIRTRADE",1,0.9,"7","FV"
"OATLY BARISTA 1L",1,2.55,"19","OTHER"
"HIMBEEREN 125G",2,1.79,"7","FV"
"F&G RIND HAMBURGER",1,5.79,"7","MD"
"TYROLINI 90G",2,1.99,"7","MD"
"FENCHEL",1,2.13,"7","FV"
"BIO-KOCHSCHINKEN",1,2.89,"7","MD"
"AVOCADO STK",1,1.19,"7","FV"
"INGWER BIO",1,0.23,"7","FV"
"TRAUBENDIREKTSA 1L",2,1.39,"19","OTHER"
"MANDARINEN PRE LOS",1,5.28,"7","FV"
"KIWI GOLD STÜCK",5,0.79,"7","FV"
"VEG. SCHIN. SPICK.",1,1.59,"7","OTHER"
"BIO PNL SALAMI 80G",2,1.99,"7","MD"
