"NAME","AMOUNT","PRICE","TAX","CATEGORY"
"BIOL. FRISCHMILCH",1,0.85,"7","MD"
"K. FRISCHMILCH",2,0.99,"7","MD"
"KLC. PINIENKERNE",3,2.29,"7","FV"
"SCHINKENWURST",1,1.69,"7","MD"
"APFEL 1KG ROT",1,1.99,"7","FV"
"ÄPFEL 1KG GOLDEN D",1,2.29,"7","FV"
"K. LYONER",1,0.99,"7","MD"
"KLC OLIVENÖL 750ML",2,5.99,"7","OTHER"
"ROMANA-MINI",1,0.99,"7","FV"
"MÖHREN 1KG",1,0.89,"7","FV"
"MAOM HAPPYFRUTTIS",1,0.99,"7","OTHER"
"HARIBO HALLOWEEN",2,1.79,"7","OTHER"
"WERTHERS ORIGINAL",1,1.49,"7","OTHER"
"SUESSKARTOFFELN",1,1.17,"19","OTHER"
"SANDWICHSCHEIBEN",1,2.69,"7","OTHER"
"CLEMENTINEN 1KG",1,2.99,"7","FV"
"ELINAS GRI. JOGHURT",1,2.29,"7","MD"
"KIWI GELB",6,0.69,"7","FV"
"EISBERGSALAT",1,0.79,"7","FV"
"K. RAPSÖL",2,1.49,"7","OTHER"
"MINI-PAK CHOI 300G",1,1.79,"7","FV"
"MILK. TOLLE ROLLE",1,1.79,"7","MD"
"BANANEN",1,1.54,"7","FV"
"AND. BIO-JOGH. MILD",6,0.65,"7","MD"
"KLC KÜRBISKERNE",1,1.89,"7","FV"
"KLC. WALNÜSSE",1,3.59,"7","FV"
